Name,Position,Team,Price,1,2,3,4,5,6
Ziyech,Midfielder,Chelsea,8.1,5.6,3.6,5.8,4.3,3.3,5.1
Watkins,Forward,Aston Villa,6,4.6,3.7,4.4,3.3,4.1,4.6
Lamptey,Defender,Brighton,4.7,3,3.3,3.1,2.5,4.1,5
Martinez,Goalkeeper,Aston Villa,4.8,3.7,2.6,3.6,2.8,3.9,3.8
DeBruyne,Midfielder,Man City,11.5,4.8,6.1,8,4.7,7.8,5.5
Dias,Defender,Man City,5.5,2.8,4.5,4.7,2.8,5,2.9
Cancelo,Defender,Man City,5.4,2.7,4.5,4.9,2.8,4.9,2.9
Robertson,Defender,Liverpool,7.1,3.7,4.1,4,5,3.3,3.6
Brewster,Forward,Sheffield Utd,4.5,3.6,4,3.7,3,3.8,3.4
Ayling,Defender,Leeds,4.5,2.4,2.1,1.6,2.4,3.3,1.3
Fernandes,Midfielder,Man Utd,10.5,8.7,5.8,5.9,5.2,6.1,8.6
Son,Midfielder,Spurs,9.6,4.7,5.1,5.4,5.5,5.1,5.2
Soucek,Midfielder,West Ham,4.9,3.6,3.7,3.1,3.7,3.7,3.1
Calvert-Lewin,Forward,Everton,7.8,5.1,5.7,4.4,4.9,3.9,4.2
Steer,Goalkeeper,Aston Villa,4,0.4,0.1,0.1,0.1,0.2,0.1
