Name,Position,Team,Price,1,2,3,4,5,6
AndreGomes,Midfielder,Everton,5.4,2.2,2.1,1.9,1.6,1.6,1.6
Bamford,Forward,Leeds,6,4.1,4.1,4,4.4,4.9,3.5
Mitchell,Defender,Crystal Palace,4.2,0,2.6,2.6,1.9,1.9,2.1
McCarthy,Goalkeeper,Southampton,4.5,3.4,3.4,3.9,4.6,3,3.2
Livermore,Midfielder,West Brom,4.8,1.9,2.5,2.2,2.1,1.9,2.3
DavidLuiz,Defender,Arsenal,5.5,2.4,3,1.8,3.5,2.5,2.1
Johnson,Defender,West Ham,4,0.4,0.4,0.3,0.4,0.4,0.3
Stevens,Defender,Sheffield Utd,5.3,2.8,3.2,2.7,1.9,2.3,2.8
Saka,Midfielder,Arsenal,5.3,2.6,2.2,1.9,2.6,2.4,2.2
Aurier,Defender,Spurs,5.2,1.5,1.4,1.9,1.8,1.6,1.8
Yarmolenko,Midfielder,West Ham,5.7,0.5,0.5,0.4,0.5,0.5,0.4
Milivojevic,Midfielder,Crystal Palace,5.7,0,0,1.5,1.2,1.2,1.2
Martial,Forward,Man Utd,8.7,5.6,4.3,3.8,3.4,3.9,5.3
Mitrovic,Forward,Fulham,5.7,3.9,3.3,2.8,3.4,3.6,3.4
Forster,Goalkeeper,Southampton,4,0,0,0,0,0,0
