Name,Position,Team,Price,1,2,3,4,5,6
Saint-Maximin,Midfielder,Newcastle,5.3,3.5,3.6,3.6,4.4,3.6,4.5
Kane,Forward,Spurs,11,5,5.2,5.7,5.7,5.2,5.7
Mee,Defender,Burnley,4.9,1.8,1.2,2.2,1.5,1.6,1.9
Henderson,Goalkeeper,Man Utd,5.3,2.4,1.9,2,2.3,2.2,1.9
Neves,Midfielder,Wolves,5.3,2.7,2.4,2.6,2.9,2.7,2.9
Evans,Defender,Leicester,5.5,2.8,4,3.8,4,3.4,2.2
Basham,Defender,Sheffield Utd,4.8,3,3.5,2.9,2.1,2.6,3.1
Robertson,Defender,Liverpool,7.1,3.7,4.1,4,5,3.3,3.6
Pulisic,Midfielder,Chelsea,8.2,0,2.5,3.4,2.6,2.2,2.8
Marcal,Defender,Wolves,4.8,1.2,1.2,1.2,1.4,1.3,1.4
Diangana,Midfielder,West Brom,5.4,2.2,3.3,2.9,2.7,2.1,3
Son,Midfielder,Spurs,9.6,4.7,5.1,5.4,5.5,5.1,5.2
Antonio,Forward,West Ham,6.2,0,4.9,3.9,5,4.8,4
Jimenez,Forward,Wolves,8.4,4.5,3.8,3.8,5,4.3,4
Pickford,Goalkeeper,Everton,4.9,3.3,3.4,3.2,3,2,2.8
