Name,Position,Team,Price,1,2,3,4,5,6
James,Defender,Chelsea,5,3,2.5,3.5,2.4,2.5,2.6
Pope,Goalkeeper,Burnley,5.4,4.1,3.6,3.9,3.5,3.8,4.1
Tarkowski,Defender,Burnley,5.4,3,1.7,2.9,2.1,2.5,3.1
Mendy,Defender,Man City,5.9,0,3.6,3.8,2.2,3.8,2.2
Fernandes,Midfielder,Man Utd,10.5,8.7,5.8,5.9,5.2,6.1,8.6
Ziyech,Midfielder,Chelsea,8.1,5.6,3.6,5.8,4.3,3.3,5.1
Podence,Midfielder,Wolves,5.5,3,2.5,2.9,3.3,3,2.9
Mahrez,Midfielder,Man City,8.3,3.8,4,5.6,3.1,5.4,3.8
Rodrigo,Forward,Leeds,5.8,0,0,0,0,0,0
Lloris,Goalkeeper,Spurs,5.5,4.3,3.6,4,4.2,4.3,4.4
Zaha,Midfielder,Crystal Palace,7.4,4.2,4.6,4.7,3.6,3.7,4
Wilson,Forward,Newcastle,6.6,0,0,0,0,0,0
Maitland-Niles,Defender,Arsenal,4.8,0.8,0.9,0.7,1,0.8,0.8
Lindelof,Defender,Man Utd,4.9,4.7,2.9,3.1,2.7,4.2,4.2
