Name,Position,Team,Price,1,2,3,4,5,6
Ndidi,Midfielder,Leicester,4.8,0,0,0,0,0,0
FabioSilva,Forward,Wolves,5.2,0.2,0.2,0.2,0.2,0.2,0.2
Alioski,Defender,Leeds,4.4,1.2,1.1,0.9,1.2,1.6,0.7
Ruddy,Goalkeeper,Wolves,4.4,0,0,0,0,0,0
Willock,Midfielder,Arsenal,4.8,0.1,0.1,0.1,0.2,0.2,0.1
Yedlin,Defender,Newcastle,4.3,0.2,0.2,0.2,0.3,0.2,0.3
Vinagre,Defender,Wolves,4.2,0,0,0,0,0,0
Krafth,Defender,Newcastle,4.4,0.7,0.9,0.8,1.4,0.9,1.4
Minamino,Midfielder,Liverpool,6.1,0.4,0.4,0.4,0.5,0.4,0.4
White,Defender,Brighton,4.5,2.3,2.5,2.4,2.1,3.2,3.9
Iwobi,Midfielder,Everton,5.9,1.1,1.2,1.1,1.1,1,1
Lingard,Midfielder,Man Utd,5.9,1.3,1.2,1.3,1.4,1.5,2
Wood,Forward,Burnley,6.3,4,2.7,3.7,2.9,3.5,3.2
Mousset,Forward,Sheffield Utd,5.8,0,0,0,0.7,0.6,0.7
Rodak,Goalkeeper,Fulham,4.4,0.4,1.6,0.2,0.3,0.6,0.4
