Name,Position,Team,Price,1,2,3,4,5,6
Watkins,Forward,Aston Villa,6,4.6,3.7,4.4,3.3,4.1,4.6
Bamford,Forward,Leeds,6,4.1,4.1,4,4.4,4.9,3.5
Bowen,Midfielder,West Ham,6.3,3.8,4.1,3.5,4.3,4.3,3.5
Kilman,Defender,Wolves,4.3,2.6,2.2,2.4,2.9,2.5,3.3
Zouma,Defender,Chelsea,5.3,3.2,2.6,3.8,2.7,2.9,3.1
Mings,Defender,Aston Villa,5.2,3.8,2.3,3.5,2.5,4,3.6
Masuaku,Defender,West Ham,4.5,4,3.5,2.5,3.1,3.5,2.1
Bale,Midfielder,Spurs,9.5,0.9,0.9,1,1,1,1
Ayling,Defender,Leeds,4.5,2.4,2.1,1.6,2.4,3.3,1.3
Maddison,Midfielder,Leicester,7,1.9,2.9,2.1,2.1,2.2,1.4
Barkley,Midfielder,Aston Villa,6,3.7,3.1,3.7,3.1,3.7,4
Burke,Midfielder,Sheffield Utd,4.4,1.2,1.4,1.2,1.1,1.1,1.1
Antonio,Forward,West Ham,6.2,0,4.9,3.9,5,4.8,4
McCarthy,Goalkeeper,Southampton,4.5,3.4,3.4,3.9,4.6,3,3.2
Martinez,Goalkeeper,Aston Villa,4.8,3.7,2.6,3.6,2.8,3.9,3.8
