Name,Position,Team,Price,1,2,3,4,5,6
Mings,Defender,Aston Villa,5.2,3.8,2.3,3.5,2.5,4,3.6
Mendy,Goalkeeper,Chelsea,5.1,2.7,2.4,3,2.2,2.6,2.6
Targett,Defender,Aston Villa,4.5,3.5,2.3,3.3,2.5,3.8,3.4
Reguilon,Defender,Spurs,5.6,2.3,2,2.6,2.9,2.5,2.7
Clyne,Defender,Crystal Palace,4.5,3.3,2.3,2.3,1.6,1.6,1.8
Vestergaard,Defender,Southampton,4.7,2.7,2.1,3.2,4.3,2.4,1.9
Casilla,Goalkeeper,Leeds,4.3,0.1,0.1,0.1,0.1,0.1,0
Lacazette,Forward,Arsenal,8.4,4,3.2,2.8,3.7,3.9,3.5
Wood,Forward,Burnley,6.3,4,2.7,3.7,2.9,3.5,3.2
Antonio,Forward,West Ham,6.2,0,4.9,3.9,5,4.8,4
Wijnaldum,Midfielder,Liverpool,5.3,2.7,2.7,2.5,2.8,2.6,2.7
Sterling,Midfielder,Man City,11.5,3.9,5.1,6.8,3.9,6.6,4.7
Mount,Midfielder,Chelsea,6.8,3.2,2.4,3.3,2.5,2.2,2.7
Podence,Midfielder,Wolves,5.5,3,2.5,2.9,3.3,3,2.9
Saint-Maximin,Midfielder,Newcastle,5.3,3.5,3.6,3.6,4.4,3.6,4.5
