Name,Position,Team,Price,1,2,3,4,5,6
Ziyech,Midfielder,Chelsea,8.1,5.6,3.6,5.8,4.3,3.3,5.1
Zouma,Defender,Chelsea,5.3,3.2,2.6,3.8,2.7,2.9,3.1
Zinchenko,Defender,Man City,5.5,0.3,0.3,0.3,0.2,0.4,0.2
Verrips,Goalkeeper,Sheffield Utd,4,0,0,0,0,0,0
Zaha,Midfielder,Crystal Palace,7.4,4.2,4.6,4.7,3.6,3.7,4
Yedlin,Defender,Newcastle,4.3,0.2,0.2,0.2,0.3,0.2,0.3
Yarmolenko,Midfielder,West Ham,5.7,0.5,0.5,0.4,0.5,0.5,0.4
Xhaka,Midfielder,Arsenal,5.3,1.5,1.4,1.2,1.6,1.4,1.3
Woods,Defender,Crystal Palace,4,0,0,0,0,0,0
Wood,Forward,Burnley,6.3,4,2.7,3.7,2.9,3.5,3.2
Winks,Midfielder,Spurs,5.3,1.1,1.1,1.1,1.2,1.1,1.2
Wilson,Forward,Newcastle,6.6,0,0,0,0,0,0
Williams,Defender,Man Utd,4.3,3.8,2.5,2.4,1.9,3.1,3.2
Werner,Forward,Chelsea,9.4,4.5,4,5.6,4.3,3.5,4.8
Ward,Goalkeeper,Leicester,4.4,0,0,0,0,0,0
