Name,Position,Team,Price,1,2,3,4,5,6
Pulisic,Midfielder,Chelsea,8.2,0,2.5,3.4,2.6,2.2,2.8
Vassilev,Forward,Aston Villa,4.4,0,0,0,0,0,0
Ream,Defender,Fulham,4.4,1.5,1,0.6,1.2,2,1.5
Johnstone,Goalkeeper,West Brom,4.5,3.2,4.3,3.3,3.4,3.2,3.5
Winks,Midfielder,Spurs,5.3,1.1,1.1,1.1,1.2,1.1,1.2
Davies,Defender,Spurs,4.8,1.4,1.3,1.7,1.7,1.5,1.7
Yedlin,Defender,Newcastle,4.3,0.2,0.2,0.2,0.3,0.2,0.3
Wan-Bissaka,Defender,Man Utd,5.4,4.5,3,3,2.7,4.2,4
Alli,Midfielder,Spurs,7.5,1.8,1.9,2.1,2,2.1,2.2
Castagne,Defender,Leicester,5.7,0,4.7,3.9,4.2,3.8,2.5
Davies,Midfielder,Everton,5.3,0.7,0.7,0.7,0.6,0.5,0.6
Barkley,Midfielder,Aston Villa,6,3.7,3.1,3.7,3.1,3.7,4
Cavani,Forward,Man Utd,8,0.6,0.5,0.5,0.4,0.5,0.6
CallumRobinson,Forward,West Brom,5.5,1.5,1.9,1.8,1.7,1.4,1.9
Areola,Goalkeeper,Fulham,4.5,3.2,2.8,2.8,3.6,3.5,2.9
