Name,Position,Team,Price,1,2,3,4,5,6
Soucek,Midfielder,West Ham,4.9,3.6,3.7,3.1,3.7,3.7,3.1
Son,Midfielder,Spurs,9.6,4.7,5.1,5.4,5.5,5.1,5.2
Alisson,Goalkeeper,Liverpool,5.9,3.8,3.9,3.8,4.6,3.4,3.4
Watkins,Forward,Aston Villa,6,4.6,3.7,4.4,3.3,4.1,4.6
Robertson,Defender,Liverpool,7.1,3.7,4.1,4,5,3.3,3.6
Pulisic,Midfielder,Chelsea,8.2,0,2.5,3.4,2.6,2.2,2.8
Ings,Forward,Southampton,8.4,0,0,0,0,0,0
Hennessey,Goalkeeper,Crystal Palace,4.4,0,0,0,0,0,0
Grealish,Midfielder,Aston Villa,7.4,4.7,3.8,5,3.4,4.5,4.7
DeBruyne,Midfielder,Man City,11.5,4.8,6.1,8,4.7,7.8,5.5
Calvert-Lewin,Forward,Everton,7.8,5.1,5.7,4.4,4.9,3.9,4.2
Cancelo,Defender,Man City,5.4,2.7,4.5,4.9,2.8,4.9,2.9
Coufal,Defender,West Ham,4.5,3.7,3.3,2.4,3,3.4,2.2
Lamptey,Defender,Brighton,4.7,3,3.3,3.1,2.5,4.1,5
Semedo,Defender,Wolves,5.5,3.9,3.4,3.6,4.4,3.9,4.6
